sample_size,subsystem,capacity_kw,mean_load_kw,p95_load_kw,p99_load_kw,p99_load_to_capacity_ratio,overload_count,overload_probability,overload_probability_pct,overload_probability_ci95_lower_pct,overload_probability_ci95_upper_pct,rule_of_three_upper_if_zero,previous_overload_probability_pct,previous_p99_load_to_capacity_ratio,change_from_previous_probability_pct_points,change_from_previous_p99_ratio
176351,FW,4871.78,4636.2993,4919.820556640625,5002.042724609375,1.026738219831227,16201,0.09186792249547777,9.186792249547777,9.051981797852763,9.321602701242792,,9.177391552289487,1.0268538250361008,0.009400697258289625,-0.00011560520487385872
201534,FW,4871.78,4636.2827,4919.737768554687,5002.1857421875,1.0267675761605615,18449,0.09154286621612234,9.154286621612234,9.028380634624988,9.280192608599481,,9.186792249547777,1.026738219831227,-0.032505627935542236,2.935632933454002e-05
230313,FW,4871.78,4636.2207,4919.704296875,5002.13541015625,1.026757244817346,21046,0.09137999157668043,9.137999157668043,9.020316206702434,9.255682108633652,,9.154286621612234,1.0267675761605615,-0.01628746394419167,-1.03313432153751e-05
250000,FW,4871.78,4635.9907,4919.470922851562,5002.279814453125,1.0267868857898192,22779,0.091116,9.111600000000001,8.99879259236234,9.224407407637662,,9.137999157668043,1.026757244817346,-0.026399157668041795,2.9640972473155003e-05
263202,FW,4871.78,4635.9014,4919.326586914062,5002.276850585938,1.0267862774152237,23956,0.09101754545938101,9.101754545938102,8.991866161441738,9.211642930434465,,9.111600000000001,1.0267868857898192,-0.009845454061899517,-6.083745955898223e-07
300788,FW,4871.78,4635.8657,4919.438256835937,5002.280166015625,1.0267869579528683,27419,0.09115722701703526,9.115722701703525,9.01285814704509,9.21858725636196,,9.101754545938102,1.0267862774152237,0.013968155765423873,6.80537644681678e-07
343741,FW,4871.78,4636.059,4919.4658203125,5002.533593749999,1.0268389774887208,31330,0.0911442045028088,9.11442045028088,9.018203314802978,9.210637585758782,,9.115722701703525,1.0267869579528683,-0.0013022514226452842,5.201953585243224e-05
392828,FW,4871.78,4635.972,4919.326147460937,5002.386884765625,1.0268088634473693,35787,0.09110093985153808,9.110093985153808,9.02010815877808,9.200079811529537,,9.11442045028088,1.0268389774887208,-0.004326465127071799,-3.0114041351447796e-05
448925,FW,4871.78,4635.7905,4919.1724609375,5002.57228515625,1.0268469194331948,40851,0.09099738263629782,9.099738263629781,9.015605298926719,9.183871228332844,,9.110093985153808,1.0268088634473693,-0.010355721524026862,3.8055985825513616e-05
500000,FW,4871.78,4635.855,4919.057690429688,5002.3526171875,1.0268018295545982,45492,0.090984,9.0984,9.018685129297507,9.178114870702492,,9.099738263629781,1.0268469194331948,-0.001338263629781622,-4.5089878596638044e-05
