scenario,margin_case,distribution_model,dependency_model,rho,subsystem,p99_load_to_capacity_ratio,p99_spare_capacity_kw,overload_probability_pct
Scenario Alpha,Case A - CUM,Truncated normal,Independent,0.0,CW,0.940309040908301,242.8264030425771,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.25,HVAC,0.9402260204164996,69.30314740870199,0.0
Scenario Alpha,Case A - CUM,Triangular,Independent,0.0,CW,0.9401163637867194,243.6102251337984,0.0
Scenario Alpha,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.25,HVAC,0.9400541404996452,69.50242842190119,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.25,CW,0.939291743969172,84.51074905539485,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Subsystem-block Gaussian copula,0.5,HVAC,0.938182246041566,23.053694983718856,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Global Gaussian copula,0.5,HVAC,0.9381820902266812,23.05375309176384,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.5,HVAC,0.937350572706545,72.63699899257767,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.5,HVAC,0.9369453840490924,73.10678282580125,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Global Gaussian copula,0.75,CW,0.9321031305145208,94.51787407334608,0.0
Scenario Bravo,Case A - CUM,Triangular,Global Gaussian copula,0.75,CW,0.9298699042344796,97.62670371326568,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Global Gaussian copula,0.5,CW,0.927644984894354,100.72396942826754,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.75,HVAC,0.9268528546041276,27.27876493248266,0.0
Scenario Bravo,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,HVAC,0.926799602314644,27.298624308799845,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Subsystem-block Gaussian copula,0.25,HVAC,0.9267844411129132,84.8875832848662,0.0
Scenario Alpha,Case B - CMM + CUM,Truncated normal,Global Gaussian copula,0.25,HVAC,0.9266135677488962,85.08569728057478,0.0
Scenario Bravo,Case A - CUM,Triangular,Global Gaussian copula,0.5,CW,0.9255411102484938,103.65273124527675,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Truncated normal,Independent,0.0,CW,0.9253277757200656,103.94970997561086,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.75,CW,0.9252117583481906,104.1112154386508,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.25,HVAC,0.9237105468037012,88.45151782485254,0.0
Scenario Alpha,Case B - CMM + CUM,Triangular,Global Gaussian copula,0.25,HVAC,0.92359977899479,88.57994423786067,0.0
Scenario Bravo,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.75,CW,0.923365026684011,106.68201365372192,0.0
Scenario Bravo,Case C - CMM + CUM + DBM + IGM,Triangular,Independent,0.0,CW,0.9233486512447155,106.70480957525616,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Subsystem-block Gaussian copula,0.5,CW,0.9215923957372044,109.1496577421526,0.0
Scenario Bravo,Case A - CUM,Truncated normal,Global Gaussian copula,0.25,CW,0.9211122978775732,109.81799237058772,0.0
Scenario Bravo,Case A - CUM,Triangular,Subsystem-block Gaussian copula,0.5,CW,0.919963768043188,111.41683778243872,0.0
Scenario Bravo,Case A - CUM,Triangular,Global Gaussian copula,0.25,CW,0.9196279205694344,111.88436433370155,0.0
Scenario Bravo,Case B - CMM + CUM,Triangular,Subsystem-block Gaussian copula,0.75,HVAC,0.9190235842982644,30.19853470764832,0.0
